County,State,Date,Year,Month,Period Begin,Period End,Homes Sold,Homes Sold with Price Drop,Homes Sold with Price Drop (%),Median Sale Price,Median Sales Price per Sqft,Price Drops,Listings with Price Drop (%),New Listings,Median New List Price,Median New Listing Price per Sqft,Inventory,Active Listings,Age of Inventory,Median List Price,Median List Price per Sqft,Average Offer to List,Average Sale to List Ratio,Median Days on Market,Months of Supply,Price Drops of Inventory (%),Homes Sold Above List (%)
Mecklenburg County, NC,2018-09-01,2018,September,2018-09-24 00:00:00,2018-09-30,555,152,27.39%,250000.0,125.72,277,5.02%,421,279500.0,$133.06,5000,5521,54.0,"$321,900.00",$144.82,0.98,0.99,46.0,9.95,5.54%,27.57%
Mecklenburg County, NC,2018-10-01,2018,October,2018-10-01 00:00:00,2018-10-07,316,106,33.54%,235000.0,126.10,307,5.67%,426,259950.0,$134.16,5023,5418,55.0,"$320,000.00",$145.30,0.98,0.98,50.0,17.15,6.11%,25.63%
Mecklenburg County, NC,2018-10-01,2018,October,2018-10-08 00:00:00,2018-10-14,306,98,32.03%,257000.0,128.54,240,4.41%,421,259900.0,$135.89,5044,5440,57.0,"$320,000.00",$145.63,1.00,0.98,50.0,17.78,4.76%,24.84%
Mecklenburg County, NC,2018-10-01,2018,October,2018-10-15 00:00:00,2018-10-21,339,101,29.79%,253450.0,126.83,311,5.67%,444,265000.0,$135.00,5096,5483,54.0,"$319,900.00",$145.38,0.98,0.98,58.0,16.17,6.10%,22.12%
Mecklenburg County, NC,2018-10-01,2018,October,2018-10-22 00:00:00,2018-10-28,291,90,30.93%,248000.0,126.95,254,4.65%,372,260000.0,$138.30,5100,5457,57.0,"$319,000.00",$145.84,0.99,0.98,48.5,18.75,4.98%,25.43%
Mecklenburg County, NC,2018-11-01,2018,November,2018-11-12 00:00:00,2018-11-18,314,107,34.08%,259218.5,135.94,241,4.50%,351,265000.0,$136.45,4938,5350,58.0,"$317,390.50",$146.11,0.99,0.98,54.0,17.04,4.88%,17.52%
Mecklenburg County, NC,2018-11-01,2018,November,2018-11-26 00:00:00,2018-12-02,455,145,31.87%,243000.0,128.45,201,3.88%,308,244950.0,$134.18,4692,5175,62.0,"$314,500.00",$146.09,0.98,0.98,53.0,11.37,4.28%,23.52%
Mecklenburg County, NC,2018-12-01,2018,December,2018-12-03 00:00:00,2018-12-09,334,99,29.64%,239950.0,129.52,151,3.04%,279,259200.0,$140.98,4578,4968,65.0,"$315,000.00",$146.73,0.93,0.98,54.0,14.87,3.30%,20.06%
Mecklenburg County, NC,2018-12-01,2018,December,2018-12-10 00:00:00,2018-12-16,344,115,33.43%,251000.0,132.27,134,2.79%,225,250000.0,$137.55,4426,4799,67.0,"$315,000.00",$147.06,0.95,0.98,59.5,13.95,3.03%,17.15%
Mecklenburg County, NC,2018-12-01,2018,December,2018-12-17 00:00:00,2018-12-23,417,157,37.65%,256000.0,131.38,98,2.10%,236,245000.0,$133.43,4252,4657,71.0,"$315,000.00",$146.78,0.95,0.98,58.0,11.17,2.30%,18.71%
