month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202102,28213,"charlotte, nc",,176450,-0.3211,-0.1887,15,0.25,-0.5455,15.5,-0.184210526,-0.354166667,16,-0.2,-0.5556,0,,,0,-1,-1,29,0.16,0.1154,131.041473,-0.064,0.0589,1354.5,-0.2116,-0.1301,186529.0549,-0.2329,-0.1931,44,0.1892,-0.2542,1.933333333,-0.15,1.1455
202102,28262,"charlotte, nc",,350050,0.0521,0.4002,17,-0.3704,-0.3462,28,-0.333333333,0.166666667,16,0.3333,-0.2,12,2,2,0,,-1,36,0.3333,0.6364,145.5697697,-0.0328,0.1178,2393,0.0579,0.2535,332871.2556,-0.0171,0.271,53,-0.0185,0.1042,2.117647059,1.1176,1.2715
202102,28205,"charlotte, nc",*,455932,0.006,0.0427,77,-0.1444,-0.56,38.5,-0.5,,40,-0.375,-0.4737,4,0,-0.75,24,-0.1429,-0.5385,96,0.1294,-0.25,277.4173096,0.0076,0.1652,1801,0.0563,6.00E-04,523341.9993,0.008,0.1354,173,-0.0114,-0.429,1.246753247,0.3023,0.5153
202102,28217,"charlotte, nc",*,365900,0.0368,,14,0.2727,0.0769,12,-0.793103448,-0.833333333,20,4,4,8,-0.3333,,0,-1,,11,-0.1538,-0.1538,177.9497237,0.029,0.2082,1985.5,0.0921,0.5053,339751.9279,0.0423,0.0923,25,0.0417,-0.0385,0.785714286,-0.3961,-0.2143
202102,28269,"charlotte, nc",,289000,-0.0099,7.00E-04,36,-0.0769,-0.6697,22,0.047619048,-0.290322581,40,-0.3333,-0.6,4,-0.8333,-0.9167,4,0,-0.875,55,0.0577,-0.5736,159.0604461,0.0617,0.2559,1790,-0.0324,-0.209,287681.5278,-0.047,-0.002,91,0,-0.6176,1.527777778,0.1944,0.3443
202102,28211,"charlotte, nc",,1057390.5,0.1851,0.244,88,-0.0638,-0.2414,90.5,0.222972973,0.052325581,36,0.2857,-0.3077,4,-0.5,0,16,-0.2,-0.4286,62,0.5122,-0.0746,314.0908483,0.0534,0.1565,3378.5,0.0898,0.0822,1265364.985,0.1185,0.1335,150,0.1111,-0.1803,0.704545455,0.2684,0.127
202102,28204,"charlotte, nc",,449157.5,-0.0168,-0.3395,25,-0.0385,0.1364,39.5,-0.081395349,-0.318965517,12,-0.4,0.5,0,-1,,4,0,-0.5,35,0.129,0.8421,293.3798142,0.0628,-0.0219,1593,-0.045,-0.2831,465486.6071,-0.0016,-0.2154,60,0.0526,0.4634,1.4,0.2077,0.5364
202102,28215,"charlotte, nc",,292500,-0.025,0.2037,56,-0.0667,-0.3913,19.5,-0.472972973,-0.22,76,0.4615,0.1176,24,-0.4,0.2,4,-0.5,-0.8333,145,0.0284,0.0584,176.6407587,0.0753,0.3388,1668.5,-0.0853,-0.1001,314066.3082,0.0159,0.0287,201,0,-0.1223,2.589285714,0.2393,1.1002
202102,28216,"charlotte, nc",*,253950,-0.1213,-0.0176,30,-0.1667,-0.5238,18.5,-0.597826087,,32,0,0,0,-1,-1,8,1,-0.75,70,0.2963,0.129,170.3914141,0.0247,0.305,1588,-0.1598,-0.158,356749.2937,-0.0948,0.161,100,0.1111,-0.2,2.333333333,0.8333,1.3492
202102,28270,"charlotte, nc",*,667500,0.1125,,19,-0.3871,,41.5,-0.51744186,,20,0,-0.4444,0,,,0,-1,-1,47,0.1463,-0.2879,202.8087008,0.0129,0.2182,3110,-0.001,0.0032,721070.3325,0.0366,0.0055,66,-0.0833,-0.4359,2.473684211,1.1511,1.1796
202102,28208,"charlotte, nc",,349925,-1.00E-04,0.2502,69,-0.0921,0.3529,39,-0.1875,0.114285714,44,0.375,0.375,4,,0,12,-0.4,0,100,0.1111,0.3889,239.6113092,0.0268,0.1834,1426,-0.0493,-0.0481,358715.7429,0.0324,0.1777,169,0.0181,0.374,1.449275362,0.2651,0.0375
202102,28209,"charlotte, nc",,639900,0.1551,0.0238,69,-0.0548,0.0952,54,-0.25,-0.386363636,48,1,0,0,-1,-1,24,0.2,0.5,61,0.525,-0.0317,292.857279,0.0465,0.009,2162,0.1355,0.0165,764080.6878,0.1408,-0.0084,130,0.1504,0.0317,0.884057971,0.3361,-0.1159
202102,28210,"charlotte, nc",*,445000,-0.0397,0.0349,43,-0.2182,,21.5,-0.63559322,,52,0.4444,-0.1875,4,,0,8,-0.5,-0.7778,94,0.2051,0.1059,224.8016796,-0.0673,0.0667,2035.5,0.0117,-0.0568,650504.8611,0.0281,-0.0663,137,0.0301,-0.2827,2.186046512,0.7679,1.3842
202102,28226,"charlotte, nc",,844750,-0.0508,0.4691,59,-0.0484,-0.5,75,-0.193548387,-0.074074074,40,0.1111,-0.3333,16,1,3,16,0,-0.6,73,0.3519,-0.0988,245.6552723,-0.0071,0.27,3000.5,-0.0719,0.0262,1035901.984,0.0211,0.3288,132,0.1379,-0.3367,1.237288136,0.3663,0.5508
202102,28203,"charlotte, nc",*,434900,-0.2984,,44,-0.1852,0.0476,27,-0.61971831,-0.625,36,0.2857,0.5,0,,,8,-0.6,0,65,0.1404,0.3265,348.1673241,0.0253,0.0804,1364,-0.2489,-0.3366,767957.3808,0.0037,0.0676,109,-0.018,0.1978,1.477272727,0.4217,0.3106
202102,28207,"charlotte, nc",,1235000,-0.0463,-0.1453,55,-0.0351,-0.0517,139,-0.047945205,0.275229358,20,0,-0.1667,0,,,12,-0.25,0,44,0.2571,0.913,359.5581605,-0.0702,-0.069,2597,-0.0346,-0.218,1327490.138,-0.0404,-0.0614,99,0.0761,0.2222,0.8,0.186,0.4034
202102,28278,"charlotte, nc",*,533088,0.1591,,41,-0.3492,-0.6985,46,-0.292307692,-0.313432836,36,0.2857,-0.4,4,-0.9,0,0,-1,-1,46,0.0455,-0.439,163.5130869,0.015,0.1243,3120,0.1044,0.0864,867873.1182,0.1991,0.5193,87,-0.1869,-0.6009,1.12195122,0.4235,0.519
202101,28269,"charlotte, nc",*,291900,0.0557,0.1017,39,-0.1702,-0.6777,21,-0.447368421,,60,0.3636,-0.1667,24,0,5,4,,-0.8571,52,-0.2239,-0.48,149.8147168,0.0249,0.2342,1850,-0.0062,-0.1184,301874.6,0.0581,0.0994,91,-0.2018,-0.5882,1.333333333,-0.0922,0.5069
202101,28226,"charlotte, nc",*,890000,0.0852,,62,-0.0746,-0.5231,93,0.062857143,0.134146341,36,2,-0.1818,8,0,,16,0.3333,-0.5,54,-0.0182,0.0385,247.4081056,0.0138,0.3101,3233,0.0319,0.1189,1014522.232,0.0314,0.3227,116,-0.0492,-0.3626,0.870967742,0.0501,0.471
202101,28273,"charlotte, nc",*,324490,0.0015,,19,-0.1364,-0.4571,29,-0.049180328,-0.049180328,24,0.2,-0.3333,4,,,4,,-0.5,25,-0.2424,-0.0385,152.4064171,0.0511,0.1133,1995,-0.0779,0.0252,302566.1429,-0.0149,0.0418,44,-0.2,-0.2787,1.315789474,-0.1842,0.5729
202101,28270,"charlotte, nc",,600000,0.0391,0.2579,31,-0.2955,-0.5507,86,0.421487603,0.194444444,20,0.6667,-0.4444,0,,,8,-0.3333,-0.6667,41,-0.2264,0,200.2183406,0.1306,0.2231,3113,-0.0594,0.0455,695606.5217,-0.0582,-0.0166,72,-0.2577,-0.3455,1.322580645,0.118,0.7284
202101,28278,"charlotte, nc",,459900,0.0948,0.1486,63,-0.2588,-0.5962,65,0.428571429,-0.273743017,28,-0.3636,-0.5625,40,0.6667,4,8,0,-0.8182,44,-0.2281,-0.3803,161.1022167,0.0264,0.0772,2825,0.0061,-0.0164,723786.127,0.1705,0.2332,107,-0.2465,-0.5286,0.698412698,0.0278,0.2433
202101,28208,"charlotte, nc",,349950,0.1964,0.4029,76,-0.013,0.3333,48,-0.157894737,-0.04950495,32,0.1429,0.1429,0,-1,-1,20,0.25,0.6667,90,-0.1509,0.5517,233.3645736,0.0824,0.1476,1500,0.1464,0.1186,347472.0154,0.0733,0.1852,166,-0.0929,0.4435,1.184210526,-0.1924,0.1667
202101,28216,"charlotte, nc",,289000,0.0824,0.1448,36,-0.0769,-0.561,46,0.095238095,-0.051546392,32,0,-0.3846,4,-0.5,0,4,-0.5,-0.8889,54,-0.129,-0.0182,166.2887377,0.0711,0.234,1890,0.018,0.0194,394094.1389,0.0916,0.3283,90,-0.1089,-0.3431,1.5,-0.0897,0.8293
